id,customer_message,historical_response,intent,expected_resolution,should_escalate,escalation_reason
91,@VirginTrains 03445565650,"@149110 Apologies Lydia, this is our Aftersales number. Lines are open until 10pm, however, you can reach the team via Live Chat if this helps: https://t.co/PAMNyrwzCC ^HP",other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
92,@VirginTrains was very disappointed with lack of food 1st class this weekend. Only sandwich offered was cheese to a vegan?what happened?,"@295320 1/2 Hi Risa, food onboard can be subject to availability I'm afraid, apologies for the inconvenience caused. We do offer a reduced",complaint_feedback,"Acknowledge the complaint about the lack of suitable First Class food options, explain that onboard food is subject to availability, and provide any available information about suitable meal options for vegan passengers.",n,
93,"@VirginTrains Did that. Seem to every time I go through this painful ordeal onboard. Speed is 0.4mb download. Can’t even do email, let alone documents. £5? Joke. Get better WiFi on buses &amp; it’s free.","@639095 1/2 Apologies Steve, you can claim a refund by contacting __email__. We are working towards offering Wi-Fi",wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
94,"@VirginTrains Delay up to 49 minutes, 58 minute travel time. It could still go each way on what is longer. Place your bets.",@243043 Sorry for the delays today Timothy. This is due to damage on the overhead wires between Euston and Watford. ^BT,train_status,"Provide the current delay and service disruption information, including the cause of the delay, and give the customer appropriate guidance about their journey.",y,"The customer is experiencing an active delay, so the current operational situation may require human review."
95,@VirginTrains Being ignored by your East Coast Twitter team isn’t helpful at all! Sent a few messages and DM’s no reply!,@334201 Is it East Coast you're trying to reach? ^LC,complaint_feedback,Acknowledge the customer's complaint about not receiving a response from the East Coast Twitter support team and ensure the issue is directed to the appropriate support team for follow-up.,y,"The customer has already sent multiple messages and direct messages without receiving a response, so the unresolved support request requires human follow-up."
96,@VirginTrains It's not good saying sorry. Why isn't your train manager ensuring that people are not in the aisles? This is a massive health and safety risk and not a single staff member has bothered to walk through the train.,"@213757 Our trains are designed to have standing passengers. If however, you wish to write in, you can via https://t.co/t20UbyOCSn ^PA",complaint_feedback,Acknowledge the customer's complaint about overcrowding in the aisles and the reported health and safety risk. Escalate the concern to the appropriate team so the situation and staff response can be investigated.,y,"The customer reports a potential health and safety risk involving overcrowding and lack of staff intervention, so the situation requires human investigation."
97,@VirginTrains pt3 all this after I waited to get on a train which had 1st class seat available as the one before the 16:50 was full!,@435085 Let these guys have your feedback &gt; https://t.co/t20UbyOCSn ^OL,complaint_feedback,"Acknowledge the customer's complaint about the First Class seating and waiting for the later service, and direct the feedback to the appropriate customer service team for review.",n,
98,@VirginTrains so not only complained yesterday but got back on virgin first class and they got our renewed seats wrong!!! Are you kidding,"@336080 Sorry to hear that, which service is it and have you managed to get seats? ^PA",seat_reservation,"Check the customer's seat reservation on the relevant service, confirm why the renewed seats were allocated incorrectly, and provide appropriate seating guidance or an alternative if necessary.",y,"The customer is currently experiencing a seating allocation problem after already raising a previous complaint, so the specific reservation and available seating need to be checked by a human."
99,@VirginTrains how about downloading the ticket reservations before everyone sits down? Just once.  Or go back to actual tickets on seats?,"@359941 This is usually done Stuart, there may have been an issue with the system if it wasn't done. ^PA",seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
100,@VirginTrains - bought a ticket. Can’t see it on the app. Was told to buy another ticket and get a refund. Ridiculous!! Make it easy.,@430070 Sorry to hear you've had problems with your ticket. Please get in touch so we can look in to this: https://t.co/6CQvcjqVwG ^CB,ticket_change,Review the customer's original ticket and the issue preventing it from appearing in the app. Check the advice to purchase another ticket and confirm the appropriate refund and ticket-resolution process.,y,"The customer has already purchased another ticket because the original was not visible in the app, so the specific ticket and refund situation requires human investigation."
101,"@VirginTrains I have, I am not an idiot.  Do not treat me like one.  Wifi is poor at best.  How do I get a refund?  Even these tweets have to be resent","@589427 I wasn't, I was trying to help Ken. You can claim via __email__ ^PA",wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
102,@VirginTrains what is your policy for a traveller with lost tickets when confirmation and payment card are available as proof of purchase?,"@336726 Tickets will need to be with you when travelling or a new ticket will need to be purchased, Denise ^MW",booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
103,Very tacky of @VirginTrains to repurpose audio announcements of it's disabled toilets for advertising. This is an accessibility feature to help those with a broad range of disabilities. Might as well paint the seat backs yellow and stick Ryanair on the side of the train!,"@816441 We'll pass on your comments, Christopher ^CB",complaint_feedback,Acknowledge the customer's accessibility complaint about repurposing audio announcements for disabled toilets as advertising and pass the feedback to the appropriate team for review.,y,"The customer is reporting a concern involving accessibility features for disabled passengers, so the complaint requires human review."
104,@VirginTrains Yeah erm. On the post request when you submit the wifi code. Whats the key value? (E.g. in get ?key=value),"@366044 The WiFi team would be best to advise on this, Sam. They can be contacted on 0330 088 1271 ^MM https://t.co/2sK6DQlGh7",wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
105,Hey @VirginTrains with delay repay can I get the money back as vouchers or does it have to go against a card? Thanks,"@319283 When you submitted the form, it would have asked how you would want to be refunded and gave you options for this. ^BT",refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,n,
106,@VirginTrains Where? https://t.co/Ls0qazhyBr,"@334645 Is that the @120576 app, Timothy? ^MW",other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
107,@VirginTrains The cheapest available tickets so advance I suppose. Total rip off to sit on a seat. Will never use virgin trains again!,"@724842 Sorry to hear that, pleas be sure to find our best fares here - https://t.co/w81DEcy3Xw ^MW",fare_price,"Provide information about the cheapest available fares and how the customer can find the best-priced tickets, including Advance fares where applicable.",n,
108,"@VirginTrains please can you advise when  there will next be a Manchester Piccadilly train ours has been delayed , thanks",@300747 They are all delayed due to earlier delays I'm afraid Amanda. ^PA,train_status,"Provide the current status and expected timing of the next Manchester Piccadilly train, including the reason for the delay and any appropriate alternative travel guidance.",y,"The customer's journey is currently affected by a delay and they need current service information to plan their travel, so the operational situation requires human review."
109,"Thanks @VirginTrains for your utterly useless phone line, what's the point in having a number if no one ever answers!! Twice I've called now and left messages with no response, should I bother with a third?","@149112 Is there anything I can help you with, Sarah? ^CB",complaint_feedback,Acknowledge the customer's complaint about the unanswered phone calls and ensure the unresolved support request is directed to the appropriate team for follow-up.,y,"The customer has already called twice and left messages without receiving a response, so the unresolved support issue requires human follow-up."
110,@VirginTrains 0652 Edinburgh to Euston via brum. Staff member in question called parisa,@423151 Thanks Adrian. We will be sure to pass this information on. And again please accept our apologies for this. ^BT,other,The message provides journey and staff details but does not state the actual support request or issue. Ask the customer to provide more information about what happened and what assistance they need.,y,"The customer's message is incomplete and appears to relate to a specific staff-related case, so the missing context should be clarified and reviewed by a human."
111,@VirginTrains I’ve screamed at the computer!,@116421 Oh dear ^JH,other,The message does not provide enough information for a specific support intent; request clarification.,n,
112,@VirginTrains Are you planning on upgrading your internet any time soon on board?,@264788 We are working to improve our onboard WiFi but there's no timeframe at this stage ^CB,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
113,@VirginTrains Complaint. On the 12:52 train to Edinburgh. Unable to get to my seat as the whole train has been ludicrously overbooked! https://t.co/PcWGmh8kDT,"@753776 We'll make @120576 aware of this for you, Matthew ^MW",seat_reservation,"Investigate the customer's seat-access problem on the 12:52 train to Edinburgh, including the reported severe overcrowding that is preventing access to their seat, and provide appropriate assistance.",y,"The customer is currently on an extremely overcrowded service and cannot reach their seat, creating a serious active journey issue that requires human review."
114,@VirginTrains Night Joel,@116421 Night Becky ^JH,other,The message is a casual conversational message with no customer support request or issue requiring action.,n,
115,@VirginTrains I have paid for a first class ticket from Manchester to London (13:40) and the first class has been declassified due cancellations of previous trains. Would I get a refund as the first class is now overcrowded and everyone can use it without having paid for it.,"@244810 Sorry to hear about your experience while travelling with us, this can be escalated further with Customer Relations via the online complaints link - https://t.co/t20UbyOCSn ^MM",refund_compensation,Review the customer's First Class ticket and determine whether they are eligible for a refund or compensation because the First Class accommodation was declassified and overcrowded due to cancellations.,y,"The customer has paid specifically for First Class but is unable to receive the expected service because of a disruption, so their individual refund or compensation eligibility requires human review."
116,"@VirginTrains We can’t afford to get back, we got the wrong tickets and will be stranded in London if we can’t change 😩","@637517 Please contact our Aftersales team on 0344 556 5650 and they should be able to assist your further with this, Camilla ^HP",ticket_change,"Help the customer amend or correct the incorrectly purchased tickets so they can travel back from London, and direct them to the Aftersales team for assistance if the booking cannot be changed directly.",y,"The customer has the wrong tickets and may be stranded if they cannot change them, so the specific booking needs human assistance."
117,@VirginTrains please check your DMs,@753441 We are 😃 ^MW,other,The message does not provide enough information for a specific support intent; request clarification.,n,
118,@VirginTrains hi I’ll be on the delayed 17.51 train from Carlisle to London - is there unreserved seats somewhere? Thanks,@697292 Coaches U and F should be unreserved ^MW,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
119,Booked @VirginTrains first class ticket but no food/drink service on outward and no reservations so not even a seat on return - how do I claim compensation please?,"@246619 Sorry to hear about your experience while travelling with us, this can be escalated further with Customer Relations via the online complaints link - https://t.co/t20UbyOCSn ^MM",refund_compensation,Review the customer's First Class journey and determine the appropriate compensation or refund for the missing food and drink service and the lack of a reserved seat. Provide the appropriate Customer Relations process for making the claim.,y,"The customer paid for First Class but did not receive key expected services and is requesting compensation, so the individual case and eligibility need to be reviewed by Customer Relations."
120,@VirginTrains How are you?,"@150400 All good thanks, Ethan, yourself? ^HP",other,The message does not provide enough information for a specific support intent; request clarification.,n,
121,@VirginTrains No...,@350269 This should be the case. Please speak to onboard staff regarding this ^LC,other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
122,@VirginTrains @121428 Thanks Joel,@116421 @121428 No worries Becky ^JH,other,The message does not provide enough information for a specific support intent; request clarification.,n,
123,@VirginTrains 8am one from Euston,@784121 There's an onboard shop in Coach C ^CB,other,The message does not provide enough information for a specific support intent; request clarification.,n,
124,@VirginTrains And that’s all? Amazing.,"@308115 If you wish to escalate this further Selina, then you can submit a complaint here: https://t.co/qpTSvKVNgA ^HP",complaint_feedback,Acknowledge the customer's dissatisfaction and provide the appropriate complaint or feedback channel if they wish to escalate their concern further.,n,
125,@VirginTrains I explained I had not printed the tickets and just wanted to change date but that seemed an impossible task..,"@173426 I see, it would be impossible to do, Kimberley. The team would have to charge that amount to change your tickets ^MW",ticket_change,"Explain the ticket date-change process and the applicable charge for changing the travel date, and advise the customer on how to make the amendment.",n,
126,"@267531 @VirginTrains @120244 @LondonMidland Well... come to think of it, I *did* buy an extra ticket from Shrewsbury to Stafford to catch my Virgin train this morning, as I needed to get an earlier London Midland train, as my Arriva train was showing as delayed! And *that* cost me an extra £16.10!","@263723 @267531 @120244 @LondonMidland If you were delayed over 30 minutes and wish to claim delay repay, you can do so here, Ruth https://t.co/v2F1XYIfEP Again, we're sorry you were delayed. ^BT",refund_compensation,"Explain that if the customer was delayed over 30 minutes, they can claim Delay Repay compensation and provide the appropriate claim process, including guidance on the additional travel cost if applicable.",n,
127,@VirginTrains what is your best priced return ticket for today Carlisle to Glasgow?,@716362 There are still some Advance fares available so it can be done for £34.50: https://t.co/zDHNvx68L6 ^CB,fare_price,"Explain the relevant fare, pricing, or ticket-release information.",n,
128,"@VirginTrains Hi as my 18:15 from Piccadilly is cancelled, will the 18:35 run or is there ticket acceptance on pls e? Thanks","@296865 Your ticket will be accepted on the next available service, Nicky ^MM",train_status,"Provide current train status, disruption information, or appropriate alternative travel guidance.",y,The issue may require case-specific or current operational investigation.
129,@VirginTrains my requested seats haven’t been given on my booking how do i change them what I requested ?,"@306724 Hi Izzy, sorry to hear that. It may be that these seats weren't available. Which service are you booked to travel on please?",seat_reservation,"Check the customer's booking and requested seat allocation, confirm why the requested seats were not assigned, and provide available alternatives or guidance for changing the seating arrangement.",y,"The customer has a specific seat-allocation problem on an existing booking, so the booking and available seats need to be checked by a human."
130,@VirginTrains poor service wanted £100 to stay on a service which was 10 mins before my book train. The train was empty. #CustomerService,"@623180 Hi Stewart, which service were you travelling on? And what type of ticket did you have? ^HP",ticket_change,Review the customer's ticket type and the £100 charge requested to travel on the earlier 10-minute service. Explain why the earlier train was not permitted and whether any alternative or refund is available.,y,"The customer is disputing a specific charge related to using an earlier service, and the correct resolution depends on their ticket type and booking details, so human review is required."
131,"@VirginTrains absolutely hopeless manager on the 7:30pm London-Glasgow train! Not announcing stops, no updates at all!","@438102 Not great to hear, Ekaterina, where are you travelling to? ^HP",complaint_feedback,"Acknowledge the customer's complaint about the manager's poor communication and lack of stop announcements or service updates on the 7:30pm London-Glasgow train, and pass the feedback to the appropriate team for review.",y,"The customer is making a specific complaint about staff conduct and service quality, so the incident should be reviewed by the relevant team."
132,"Hi @VirginTrains I’ve got a seat reservation on 1657 EUS-LAN, will it be upheld or is it not worth my while? #MiltonKeynesCentral","@257081 Hi Claire, seat reservations should be in place unless announced otherwise onboard by the Train Manager ^HP",seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
133,@VirginTrains  https://t.co/iFYhyCRqar,@651413 Alright ah kid. ^PA,other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
134,"@VirginTrains Of course! No replies to letters, no refund! Abysmal customer service!",@508348 Are there any reference numbers attached to any of your correspondence? ^LC,refund_compensation,"Check the customer's previous correspondence and refund case using any available reference numbers, then provide an update on the outstanding refund and next steps.",y,"The customer reports an unresolved refund and unanswered correspondence, so the specific case needs to be investigated by a human support team."
135,Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,@382089 It was briefly delayed by a naughty freight train but its on its way now ^JH,train_status,Provide the current status of the 5:40 train from Glasgow and explain any delay or disruption affecting its service.,n,
136,"@VirginTrains can you advise on progress for refund VT-130917-0277? Promised refund on 25/9, still waiting + asked another Q, no reply since","@321139 1/2 Hi Graham, I'll escalate this with our Customer Resolutions team for you, as it looks like they're yet to respond to your",refund_compensation,"Check the status of refund VT-130917-0277, confirm why the promised refund has not been received, and provide an update on the customer's unanswered question.",y,"The refund is overdue and the customer has already received no response to follow-up correspondence, so the specific case needs investigation by Customer Resolutions."
137,"@307399 Hi Phillip, looks like option is missing. @VirginTrains is this correct? Off peak restrictions are shown as between 04:29 -08:30 ^LH","@242596 @307399 1/2 Hi guys, this is a bit of an odd one, we can see a Peak service and an Off-Peak service in Journey Planner for this",fare_price,Explain the applicable peak and off-peak restrictions and clarify why the expected off-peak option is missing from the Journey Planner.,n,
138,@VirginTrains Thanks which coaches are unreserved @VirginTrains,@409518 Please drop us a message tomorrow as we'll be able to check this for you then :) Thanks ^HP,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
139,"@VirginTrains I got off at Birmingham International and they didn’t check my tickets by then. The train was packed when I got off, so all those people on there will have their tickets checked? I doubt it.","@351367 It is the train managers discretion, if the train is full and standing, they may not be able to make their way through the train. Hence why we have introduced ticket barriers at most of our stations. ^BT",booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
140,@VirginTrains Nobody seems to know about “endorsing”. Cleaner suggests trying Virgin 1st class lounge. Buck swiftly passed to Network Rail reception.,@716271 If you're travelling with a through ticket that includes a connection then staff would endorse/validate this ^CB,booking_ticket,"Explain when a through ticket with a connection can be endorsed or validated by staff, and clarify the customer's ticket situation.",n,
141,@VirginTrains help!! booked some tickets on an old bank card... which i lost and the machine wont let me collect them with my new card🙃,@369260 If you DM us we can have a look at the booking for you and help. ^PA,booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
142,@VirginTrains Tickets didn't fully print out at Euston. Told by staff I left it in machine. Bought a new single to Liverpool for £159. Was an hour late for a meeting. Now received a generic email from your customer support. How can I get a refund?,"@243215 Sorry to hear this Jun, were you looking to claim for a delay? ^HP",refund_compensation,"Review the customer's ticket-printing issue and the £159 replacement ticket purchase, then determine whether a refund or compensation is due and provide the appropriate next steps.",y,The customer paid £159 for a replacement ticket because the original ticket did not print and also arrived late for a meeting. This specific refund/compensation case requires human review.
143,@VirginTrains I see you have cancelled the 11:57 Crewe to Glasgow central. What happens to reserved seat I have if I have to get later train,@494375 2/2 service I'm afraid but you can claim compensation for this here: https://t.co/iaC1l55bsg ^HP,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,y,The issue may require case-specific or current operational investigation.
144,@VirginTrains going to miss my prebooked 0655 Euston to Manchester due to cancellations in essex. Can I transfer my ticket?,"@617622 Yes, speak to station staff and we can arrange that ^BH",ticket_change,Advise the customer to speak with station staff to arrange transfer of the prebooked ticket to a suitable later service because of the cancellation disruption.,n,
145,@virgintrains are they any plans to improve your Wi-fi it’s about as much use as mesh umbrella,@269621 Are you struggling with connection today? ^LC,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
146,@VirginTrains can you introduce a free cancellation in the first 10 mins of booking. Picked wrong date and it’s cost me £10 :(,@429046 Hi Andrew. How did you look to change this ticket? ^BT,ticket_change,"Explain the appropriate ticket amendment, cancellation, or ticket-validity process.",n,
147,"@VirginTrains expecting a full refund for me and my friends' travel today. Compensation for missing #MCIARS, too. Thanks in advance",@185215 2/2 online form here: https://t.co/MdU8AgYL9l ^HP,refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,n,
148,"@VirginTrains Seriously, my wife just drove to the pickup area in Weston Carpark Crewe and despite a 20 minute free wait and only being there 9 minutes it’s charged us £12?! WTF?",@138495 Have you spoken to staff at the station regarding this? ^PA,other,Review the £12 car-park pickup charge at Crewe and determine why the customer was charged despite being there for only 9 minutes during the stated free waiting period.,y,"The customer is disputing a specific station car-park charge, so the circumstances and transaction need to be investigated by a human support team."
149,@VirginTrains just bought wifi on a west coast service from Bham to Glasgow and it doesn't work can u sort it out or refund me,@506847 Can you get connected via https://t.co/1JEOSVPtGN  ? ^MM,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
150,@VirginTrains @415748  https://t.co/mcCFRhizt2,@415749 @415748 🐲 ^MW,other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
151,@VirginTrains 2334671988,@641717 2/2 contact our Aftersales team on 0344 556 5650 they should be able to resend this through to your device for you ^HP,other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
152,@VirginTrains Hi. When will Adavanced tickets for 29th Dec London - Preston go on sale please? I thought they should be but not showing. Ta,@364801 On the 23rdOctober they should be available. ^PA,fare_price,Explain when Advance tickets for the 29th December London to Preston journey are expected to be released for sale and why they may not yet be showing.,n,
153,"@VirginTrains All it said in the online process was I'd need to send them back, &amp; I'd be contacted later about it, but I haven't heard anything","@232782 Oh ok, just send them back to here, Ruth:
Virgin Trains Refunds
PO Box 23972
Edinburgh
EH3 5DA

^MW",refund_compensation,"Confirm the required refund-return process, check whether the returned documents have been received or processed, and provide an update on the outstanding refund.",y,"The customer has followed the refund process but has not received the expected follow-up, so the status of the individual refund needs to be checked."
154,@VirginTrains no food or drink in first class on the 17:40 Euston to Manchester. Any chance of a partial refund or a free upgrade on a future service?,"@233451 You can claim compensation here, Lee - https://t.co/lLPEm8KjXJ ^MW",refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,n,
155,@VirginTrains 30 minute phone call to change date on train ticket? This is madness,"@403816 Sorry to hear that, have you called 0344 556 5650, Mel? ^MW",ticket_change,Provide guidance on changing the date of the train ticket and the appropriate support channel for handling the amendment.,n,
156,@VirginTrains You need to get a bit of Christmas spirit... take a trip to Penrith station soon... we'll get you in the mood! Just remember dress up warm I swear I saw some snow before!,"@129870 We may just do that, Emma :) ^MM",other,Acknowledge the customer's friendly comment without treating it as a support request.,n,
157,"@VirginTrains beautiful service from preston to mcr airport: 11:47 dept, still waiting to leave due to a missing driver... awful",@695002 That's a @121516 service. If you contact them they may be able to advise ^CB,train_status,"Provide the current status of the 11:47 Preston to Manchester Airport service, explain the cause of the delay, and advise on the expected departure or alternative options.",y,"The customer is experiencing an active service disruption caused by a missing driver, so current operational information or intervention is required."
158,@VirginTrains So no sockets on a normal seat? That's a little disappointing... Oh well better switch off my phone,"@723000 Not on our Pendolino services unfortunately, apologies ^HP",other,"Explain that standard seats on the relevant Pendolino service do not have power sockets, and acknowledge the customer's concern.",n,
159,@VirginTrains can I use my ticket to Manchester tonight on the Preston train instead? #delays,"@407636 Where are you travelling from, Sarah? ^MM",booking_ticket,"Confirm whether the customer's existing ticket to Manchester can be used on the Preston train instead because of the current delays, and explain any applicable ticket-validity conditions.",n,
160,@VirginTrains 9:25 Litchfield Trent valley to London Euston,@493943 We don't know for sure how long it be sorry. ^PA,other,The message does not provide enough information for a specific support intent; request clarification.,n,
161,@LondonMidland  Hi the £6.90 day ranger allow a trip to Coventry ? Been refused at barrier by @VirginTrains staff. They were rude and forced me to buy a ticket I believe didn't need. Thanks https://t.co/isZBAMEgfL,@742395 @LondonMidland Where were you travelling between and where did the staff speak to you? ^PA,booking_ticket,"Check whether the £6.90 Day Ranger ticket was valid for the customer's journey to Coventry, review why they were refused at the barrier and required to purchase another ticket, and address the reported staff conduct.",y,"The customer disputes a ticket-validity decision, reports being forced to make an additional purchase, and alleges rude treatment by staff. The specific journey and staff interaction require human investigation."
162,Hi @VirginTrains someone left their 1stclass ticket for the train I’m now on in the machine. Being a top bloke I fought off the idea of using it instead of my own cheap ticket and handed it in. Does Virgin reward this kind of Good Samaritan work with free upgrades on said train?,"@124070 Hi Dom, I'm afraid not, but life isn't about rewards, it's about knowing you did the right thing and you did :). ^PA",other,Acknowledge the customer's gesture and explain that Virgin does not provide a free upgrade or reward for handing in another passenger's ticket.,n,
163,@VirginTrains They're irritating. Feels kind of intrusive to be talked at in the toilet. Probably very worrying for someone who doesn't speak English...,@654244 It's all a bit of fun and tongue in cheek. ^PA,other,The message does not provide enough information for a specific support intent; request clarification.,n,
164,"@VirginTrains - We are not doing toast today as we are short staffed? Not impressed, expect a letter after the price you charge!! It’s not the passengers’ fault, breakfast with no toast indeed!!",@478620 So sorry to hear this Craig. What service were you travelling on today? ^BT,complaint_feedback,"Acknowledge the complaint about the missing breakfast service and staff shortage, ask which service the customer was travelling on, and provide the appropriate feedback or complaint route.",n,
165,You’ve gotta hand it to them the staff at Euston station have been incredible!! Can’t fault them @VirginTrains,"@331039 Great to hear Emma, thanks for your feedback ^HP",other,Thank the customer for the positive feedback about the Euston station staff.,n,
166,@VirginTrains I've got an first class open return but am not going to make the train I've got a seat reserved on how can I reserve a seat on a later Train?,"@688952 It depends when the later service is, what sort of time are you looking at? ^PA",seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
167,@VirginTrains hello! There has been a crash on the M56 and I’m stuck in traffic. Got an advance ticket for the 19h15 from Man Picc... is there anything that can be done to help me get on a later train please? https://t.co/zc6AptRzhO,@626969 2/2 speaking to our station staff upon arrival to see if there's anything they can do to help get you on the next service ^HP,ticket_change,Advise the customer to speak with station staff on arrival to see whether their Advance ticket can be transferred or accepted on a later service because they are delayed by traffic.,n,
168,@VirginTrains what a joke! Pre booked first class tickets but you take a carriage out and our seats don’t exist. Standing down to London from Newark to Kings Cross 12.58. Staff didn’t have a clue what was going on. Terrible,@627827 We'll loop in the @120576 team as they operate that service ^CB,seat_reservation,"Check the customer's First Class reservation and the removed carriage, then arrange appropriate seating or compensation and address the service disruption.",y,"The customer's reserved seats no longer exist because a carriage was removed, and they are currently standing during the journey. This active service and reservation issue requires human intervention."
169,"@VirginTrains @120872 my daughter will she's the one who lost a days pay,plus the cost of her original first class ticket, plus extra ticket from here to Euston",@512782 @120872 Please pass on this link to make a formal complaint https://t.co/t20Ubz6dJV ^JH,complaint_feedback,"Acknowledge the customer's complaint about the lost wages and additional ticket costs, and direct the case through the formal complaint process for investigation and resolution.",y,"The customer reports significant financial loss connected to the journey, including an original First Class ticket and an additional ticket. The case requires formal investigation."
170,"@VirginTrains Hi, your delayrepay online form isn't working you can't enter a date...?","@311466 Have you tried from another device, Sara? ^MM",refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,n,
171,"@VirginTrains paid for WiFi on my train but didn’t receive a code, can you help? 🙂","@323854 Hi Jonny, apologies about that. Of course, could you drop us a DM please? Thanks ^HP",wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
172,"@VirginTrains Tried to catch last train last night, activated ticket to speed up getting through, missed it. Booked a hotel. Told I’d have to buy another",@365839 Did you purchase another ticket Mark? ^BT,booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",y,The issue may require case-specific or current operational investigation.
173,@VirginTrains Do you think trains will be running tomorrow morning or will the trains still be stranded??,@128505 It is too soon to make this an assessment sadly Nic ^JH,train_status,Provide the latest information available about whether trains are expected to run tomorrow morning and explain that service status may depend on the ongoing disruption.,y,"The customer is asking about future train operations during an ongoing disruption, so current operational information is needed to give a reliable answer."
174,"@VirginTrains Think you missing the point - where are the staff, why is there no comms, why only police visible? Why didn’t you ensure station facilities stayed open?","@272610 Our teams may be assisting other passengers at this time, Isobel ^MW",station_facilities,Provide information about the relevant station facility or service.,y,"Potential safety, conduct, or serious customer-service issue requiring human review."
175,Nothing I enjoy more than 2 hours stood up on a train journey I paid £83 for @VirginTrains #affordabletravel #londoncommute,"@320849 Not great to hear, Jessica, did you originally have a seat reservation for this service? ^HP",seat_reservation,Check whether the customer had a seat reservation for the service and investigate why they had to stand for the journey despite paying for their ticket.,y,"The customer reports an active seating problem during a paid journey and may have been unable to use a reserved seat, so the specific situation requires human review."
176,@VirginTrains I don’t know why ticket acceptance wasn’t used in this case but the ticket officer told me to buy it and contact you later for a refund,@398615 Which station was this advised at? ^HP,refund_compensation,"Check why the customer's original ticket was not accepted, identify the station where they were told to purchase another ticket, and review their eligibility for a refund of the additional ticket.",y,"The customer was instructed to buy another ticket because their original ticket was not accepted, so the specific ticket-validity decision and refund require human investigation."
177,@VirginTrains ?? Any answer on this pls? Still delayed at Leeds (45 mins late) think 19:15 is my only option.,@287382 You will be able to board the next available service from Manchester as you have an off peak single ticket. ^BT,train_status,"Provide current train status, disruption information, or appropriate alternative travel guidance.",n,
178,@VirginTrains Thanks HP,"@510729 No problem, Julie, please let us know if you need any further information at all ^HP",other,Acknowledge the customer's thanks and close the conversation politely.,n,
179,@VirginTrains hi - what’s the situation with delayed services from Euston To MK and can I get a ticket refund and swap for London Midland whizz aren’t delayed ?? Ta,@140478 Which service were you due to catch? What ticket do you have? ^BT,train_status,"Provide the current status of delayed Euston to Milton Keynes services and advise whether the customer's ticket can be used on a London Midland service instead, including any refund or ticket-change implications.",y,"The customer is dealing with an active service disruption and needs a ticket-validity decision for an alternative operator, which requires current and case-specific guidance."
180,@VirginTrains absolutely disgusted your not replying to me why I’m sat on the floor of one of your overcrowded trains after iv spent £88,"@702792 We did reply to your earlier tweets, Matty ^MW",complaint_feedback,"Acknowledge the customer's complaint about the overcrowded train and lack of seating, review the £88 journey and previous contact, and provide an appropriate response or complaint route.",y,"The customer reports an unacceptable active journey condition, significant overcrowding, and an unresolved support interaction. The specific case should be reviewed by a human team."
181,@VirginTrains #ThatFridayFeeling https://t.co/OKUfb8avAD,"@689507 Yes Callum, love it! ^MW",other,Acknowledge the customer's casual Friday message in a friendly way.,n,
182,@124107 many thanks to Derek the Duty Manager at Glasgow Central this morning and Michelle @VirginTrains for sorting out my onward travel after the disruption caused at Dunlop this morning. They dealt admirable with my dismay at missing my connection.,"@147624 @124107 Great to hear how they could both hope out this morning, Ann ^CB",other,Thank the customer for the positive feedback about Derek and Michelle helping with onward travel after the disruption.,n,
